SentimentText	Category
My friend did not like his Bloody Mary.	1
Despite how hard I rate businesses; its actually rare for me to give a 1 star.	2
They really want to make your experience a good one.	6
I will not return.	0
I had the chicken Pho and it tasted very bland.	2
Very disappointing!!!	0
The grilled chicken was so tender and yellow from the saffron seasoning.	5
a drive thru means you do not want to wait around for half an hour for your food; but somehow when we end up going here they make us wait and wait.	3
Pretty awesome place.	7
Ambience is perfect.	8
Best of luck to the rude and non-customer service focused new management.	3
Any grandmother can make a roasted chicken better than this one.	2
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.	1
The staff is always super friendly and helpful; which is especially cool when you bring two small boys and a baby!	7
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !	9
The roast beef sandwich tasted really good!	8
Same evening; him and I are both drastically sick.	2
High-quality chicken on the chicken Caesar salad.	8
Ordered burger rare came in we'll done.	2
We were promptly greeted and seated.	8
Tried to go here for lunch and it was a madhouse.	4
I was proven dead wrong by this sushi bar; not only because the quality is great; but the service is fast and the food; impeccable.	5
After waiting an hour and being seated; I was not in the greatest of moods.	2
This is a good joint.	9
The Macarons here are insanely good.	8
I'm not eating here!	0
Our waiter was very attentive; friendly; and informative.	8
Maybe if they weren't cold they would have been somewhat edible.	1
This place has a lot of promise but fails to deliver.	3
Very bad Experience!	0
What a mistake.	2
Food was average at best.	1
Great food.	10
We won't be going back anytime soon!	1
Very Very Disappointed ordered the $35 Big Bay Plater.	0
Great place to relax and have an awesome burger and beer.	10
It is PERFECT for a sit-down family meal or get together with a few friends.	10
Not much flavor to them; and very poorly constructed.	2
The patio seating was very comfortable.	7
The fried rice was dry as well.	2
Hands down my favorite Italian restaurant!	8
That just SCREAMS "LEGIT" in my book...somethat's also pretty rare here in Vegas.	9
It was just not a fun experience.	8
The atmosphere was great with a lovely duo of violinists playing songs we requested.	8
I personally love the hummus; pita; baklava; falafels and Baba Ganoush (it's amazing what they do with eggplant!).	9
Very convenient; since we were staying at the MGM!	7
The owners are super friendly and the staff is courteous.	8
Both great!	10
Eclectic selection.	10
The sweet potato tots were good but the onion rings were perfection or as close as I have had.	9
The staff was very attentive.	9
And the chef was generous with his time (even came around twice so we can take pictures with him).	8
The owner used to work at Nobu; so this place is really similar for half the price.	7
Google mediocre and I imagine Smashburger will pop up.	8
dont go here.	0
I promise they won't disappoint.	9
As a sushi lover avoid this place by all means.	2
What a great double cheeseburger!	9
Awesome service and food.	8
A fantastic neighborhood gem !!!	9
I can't wait to go back.	9
The plantains were the worst I've ever tasted.	2
It's a great place and I highly recommend it.	10
Service was slow and not attentive.	2
I gave it 5 stars then; and I'm giving it 5 stars now.	10
Your staff spends more time talking to themselves than me.	1
Dessert: Panna Cotta was amazing.	8
Very good food; great atmosphere.1	9
Damn good steak.	9
Total brunch fail.	2
Prices are very reasonable; flavors are spot on; the sauce is home made; and the slaw is not drenched in mayo.	7
The decor is nice; and the piano music soundtrack is pleasant.	9
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	8
Good food ; good service .	10
It was absolutely amazing.	9
I probably won't be back; to be honest.	3
will definitely be back!	9
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.	8
Hawaiian Breeze; Mango Magic; and Pineapple Delight are the smoothies that I've tried so far and they're all good.	8
Went for lunch - service was slow.	2
We had so much to say about the place before we walked in that he expected it to be amazing; but was quickly disappointed.	3
I was mortified.	1
Needless to say; we will never be back here again.	0
Anyways; The food was definitely not filling at all; and for the price you pay you should expect more.	1
The chips that came out were dripping with grease; and mostly not edible.	2
I wasn't really impressed with Strip Steak.	3
Have been going since 2007 and every meal has been awesome!!	8
Our server was very nice and attentive as were the other serving staff.	9
The cashier was friendly and even brought the food out to me.	8
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.	3
The atmosphere here is fun.	9
Would not recommend to others.	1
Service is quick and even "to go" orders are just like we like it!	8
I mean really; how do you get so famous for your fish and chips when it's so terrible!?!	2
That said; our mouths and bellies were still quite pleased.	7
Not my thing.	1
2 Thumbs Up!!	9
If you are reading this please don't go there.	0
I loved the grilled pizza; reminded me of legit Italian pizza.	9
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!	8
They have a really nice atmosphere.	9
Tonight I had the Elk Filet special...and it sucked.	2
After one bite; I was hooked.	8
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.	3
Cute; quaint; simple; honest.	10
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.	9
The food was great as always; compliments to the chef.	8
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.	9
Awesome selection of beer.	9
Great food and awesome service!	10
One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8; and they didn't expect more tip than that.	7
A FLY was in my apple juice.. A FLY!!!!!!!!	1
The Han Nan Chicken was also very tasty.	8
As for the service; I thought it was good.	9
The food was barely lukewarm; so it must have been sitting waiting for the server to bring it out to us.	2
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.	1
Nicest Chinese restaurant I've been in a while.	9
Overall; I like there food and the service.	8
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.	7
Probably never coming back; and wouldn't recommend it.	0
Friend's pasta -- also bad; he barely touched it.	1
Try them in the airport to experience some tasty food and speedy; friendly service.	7
I love the decor with the Chinese calligraphy wall paper.	8
Never had anything to complain about here.	8
The restaurant is very clean and has a family restaurant feel to it.	9
It was way over fried.	2
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.	3
When I opened the sandwich; I was impressed; but not in a good way.	2
Will not be back!	0
There was a warm feeling with the service and I felt like their guest for a special treat.	8
An extensive menu provides lots of options for breakfast.	9
I always order from the vegetarian menu during dinner; which has a wide array of options to choose from.	7
I have watched their prices inflate; portions get smaller and management attitudes grow rapidly!	2
You can not answer calls with the unit; never worked once!	2
disappointing.	0
So there is no way for me to plug it in here in the US unless I go by a converter.	2
Good case; Excellent value.	6
Great for the travelling.	9
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	4
The mic is great.	8
I have to jiggle the plug to get it to line up right to get decent volume.	4
If you have several dozen or several hundred contacts; then imagine the fun of sending each of them one by one.	6
If you are Razr owner...you must have this!	7
Needless to say; I wasted my money.	1
What a waste of money and time!.	0
And the sound quality is great.	7
He was very impressed when going from the original battery to the extended battery.	7
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	4
Very good quality though	8
The design is very odd; as the ear "clip" is not very comfortable at all.	3
Highly recommend for any one who has a blue tooth phone.	6
I advise EVERYONE DO NOT BE FOOLED!	2
So Far So Good!.	7
Works great!.	8
It clicks into place in a way that makes you wonder how long that mechanism would last.	4
I went on Motorola's website and followed all directions; but could not get it to pair again.	4
I bought this to use with my Kindle Fire and absolutely loved it!	7
The commercials are the most misleading.	5
I have yet to run this new battery below two bars and that's three days without charging.	5
I bought it for my mother and she had a problem with the battery.	2
Great Pocket PC / phone combination.	6
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.	10
I didn't think that the instructions provided were helpful to me.	5
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.	4
Doesn't hold charge.	3
This is a simple little phone to use; but the breakage is unacceptible.	3
This product is ideal for people like me whose ears are very sensitive.	9
It is unusable in a moving car at freeway speed.	3
I have two more years left in this contract and I hate this phone.	1
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	9
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	3
It has kept up very well.	8
Poor Talk Time Performance.	3
The case is great and works fine with the 680.	8
worthless product.	0
It has a great camera thats 2MP; and the pics are nice and clear with great picture quality.	7
I was not impressed by this product.	4
Nice headset priced right.	7
I only hear garbage for audio.	2
Excellent bluetooth headset.	8
It has all the features I want	10
Who in their right mind is gonna buy this battery?.	1
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	0
This case seems well made.	8
Disappointed with battery.	3
Not loud enough and doesn't turn on like it should.	4
good protection and does not make phone too bulky.	9
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.	8
This phone is pretty sturdy and I've never had any large problems with it.	10
I love this thing!	8
Everything about it is fine and reasonable for the price i.e.	9
VERY DISAPPOINTED.	1
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!	9
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	9
The buttons for on and off are bad.	5
Essentially you can forget Microsoft's tech support.	5
I really recommend this faceplates since it looks very nice; elegant and cool.	9
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.	10
Buy a different phone - but not this.	0
You have to hold the phone at a particular angle for the other party to hear you clearly.	4
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.	4
A week later after I activated it; it suddenly died.	0
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.	9
Great for iPODs too.	9
This device is great in several situations:1.)	8
Mic Doesn't work.	5
Even in my BMW 3 series which is fairly quiet; I have trouble hearing what the other person is saying.	3
Great choice!	8
Nice docking station for home or work.	9
This is a beautiful phone.	9
Love this product.	9
Do Not Buy for D807...wrongly advertised for D807.	1
This is a great little item.	8
I love this phone ; It is very handy and has a lot of features .	9
I purchased this and within 2 days it was no longer working!!!!!!!!!	0
I wear it everyday and it holds up very well.	9
Not a good bargain.	2
Well packaged; arrived on time; and works as intended.	10
The battery runs down quickly.	3
This item worked great; but it broke after 6 months of use.	6
The headsets are easy to use and everyone loves them.	9
This phone works great.	9
The construction of the headsets is poor.	3
Product was excellent and works better than the verizon one and Boy was it cheaper!	8
The phone loads super!	9
For a product that costs as much as this one does; I expect it to work far better and with greater ease than this thing does.	6
Made very sturdy.	9
Worked great!.	9
The ear buds only play music in one ear.	5
Dont waste your money...	0
Will order from them again!	10
If you plan to use this in a car forget about it.	5
I found this product to be waaay too big.	5
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.	9
I'm very disappointed with my decision.	1
Integrated seamlessly with the Motorola RAZR phone.	9
Buyer Beware; you could flush money right down the toilet.	0
Definitely a bargain.	9
The price was very good and with the free shipping and all it was a good purchase.	8
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	2
Pros:-Good camera - very nice pictures ; also has cool styles like black and white; and more.	9
That's a huge design flaw (unless I'm not using it correctly; which I don't think is the case).	1
I love my 350 headset.. My Jabra350 bluetooth headset is great; the reception is very good and the ear piece is a comfortable fit.	8
The camera; although rated at an impressive 1.3 megapixels; renders images that fall well below expectations of such a relatively high resolution.	2
I purcashed this for the car charger and it does not work.	0
Sound quality on both end is excellent; I use headset to call my wife and ask my wife to use headset to call me !2.	9
This phone is slim and light and the display is beautiful.	9
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.	9
Great product; fast shipping!.	9
Absolutely great.	10
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.	8
i got this phone around the end of may and i'm completely unhappy with it.	0
It is very comfortable on the ear.	9
It has been a winner for us.	9
Setup couldn't have been simpler.	9
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.	10
Could not get strong enough signal.	4
Iam very pleased with my purchase.	9
Bad Quality.	1
Gets the job done.	8
Great audio!.	8
Basically the service was very bad.	2
it did not work in my cell phone plug i am very up set with the charger!.	1
I've only had my bluetooth for a few weeks; but I really like it.	8
The BT headset was such a disapoinment.	0
It is so small and you don't even realize that it is there after a while of getting used to it.	4
The accompanied software is almost brilliant.	9
Headset works great & was packaged nicely to avoid any damage.	9
!I definitly recommend!!	10
Buyer--Be Very Careful!!!!!.	1
The majority of the Logitech earbud headsets failed.	1
Very good stuff for the price.	8
My headset works just peachy-keen.	8
In my house I was getting dropped coverage upstairs and no coverage in my basement.	4
Voice recognition is tremendous!	9
What a waste.	0
During several different 2 minute calls; I experienced 5 drops and it was in an area that had 5 bars.	1
I was not happy with this item.	1
very disappointed.	0
The phone takes FOREVER to charge like 2 to 5 hours literally.	2
I got this phone on reccomendation from a relative and I'm glad I did.	9
What a waste of time!	1
Its reception is very very poor.	2
Items stated as included from the description ARE NOT INCLUDED.	4
After 3 months; screen just went black all of a sudden.	5
I Was Hoping for More.	5
Audio Quality is poor; very poor.	2
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!	9
I know that sounds funny; but to me it seemed like sketchy technology that wouldn't work well.Well; this one works great.	8
I've bought $5 wired headphones that sound better than these.	1
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.	8
Nice quality build; unlike some cheap s*** out there.	8
This item is fantastic and works perfectly!	9
And I just love the colors!	8
W810i is just SUPERB.	9
All I can do is whine on the Internet; so here it goes.The more I use the thing the less I like it.	5
Great charger.	8
This is essentially a communications tool that does not communicate.	2
Works like a charm; it work the same as the one I got with the phone.	9
I still maintain that monkeys shouldn't make headphones; we just obviously don't share enough DNA to copy the design over to humans.	2
Great Value.	8
Doesn't work at all.. I bougth it for my L7c and its not working.	1
The look of it is very sharp and the screen is nice and clear; with great graphics.	9
doesn't last long.	4
One thing I hate is the mode set button at the side.	6
EXCELLENT SERVICE!!!!!!!!.	9
Thank you for wasting my money.	1
How can that be?The audio quality is poor.	1
The iGo chargers and tips are really great.	8
The file browser offers all the options that one needs.Handsfree is great.	9
Superb Phone on a Great Network.	9
I connected my wife's bluetooth;(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.	9
I put the latest OS on it (v1.15g); and it now likes to slow to a crawl and lock up every once in a while.	4
It only recognizes the Phone as its storage device.	5
If you like a loud buzzing to override all your conversations; then this phone is for you!	3
Don't buy this product.	1
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.	2
The sound quality is good and functionality is awesome.	7
I have this phone and it is a thorn in my side; I really abhor it.	1
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.	4
Incredible!.	9
Design Flaw?.	4
Great phone!.	9
Waste of 13 bucks.	1
But when I check voice mail at night; the keypad backlight turns off a few seconds into the first message; and then I'm lost.	4
The replacement died in a few weeks.	4
Any ring tone..Overall good phone to buy..	7
Lately they have been extremely nice and helpful on the phone.	8
I have had problems wit hit dropping signal and more.	4
Not impressed.	2
Light weight; I hardly notice it is there.	6
You'll love how thin it is.	8
Bad Choice.	1
The pleather case doesn't fit.	3
useless phone; simply deaf.	0
The color is even prettier than I thought it would be; and the graphics are incredibly sharp.	10
All in all I think it was a good investment.	9
It makes very strange ticking noises before it ends the call.	6
The best electronics of the available FM Transmitters.	9
Battery lasts only a few hours.	4
great headset; very impressed - H500.	9
The "1.2" mega pixel camera; being a part of a phone; is reasonably good7.	6
I've had this for nearly 2 years and it has worked great for me.	9
Good transmit audio.	8
We are sending it back.	0
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.	0
If you hate earbugs; avoid this phone by all means.	3
Great price also!	9
The range is very decent; I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.	4
fast service.	9
I would highly recommend this.	10
I would recommend this.	8
I also didn't like the "on" button; it felt like it would crack with use.	5
WORST PHONE EVER.	0
I'm still infatuated with this phone.	9
Freezes frequently4.	4
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.	2
Simple; lightweight and great fit.	9
All in all; I'd expected a better consumer experience from Motorola.	5
There's a horrible tick sound in the background on all my calls that I have never experienced before.	0
These are certainly very comfortable and functionality is decent.	9
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.	9
I'm a bit disappointed.	1
I have had this phone for over a year now; and I will tell you; its not that great.	9
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).	3
The battery is completely useless to me.	1
What a big waste of time.	0
Don't waste your $$$ on this one.	0
Great sound and service.	9
Really pleased with this product so far.	9
One of my favorite purchases ever.	9
best bluetooth on the market.	9
Authentic leather with nice shine and comfort .I recommend you this case !!	9
I was very excited to get this headset because I thought it was really cute.	9
Do not make the same mistake as me.	0
Big Disappointment with calendar sync.	2
the phone was unusable and was not new.	2
Worst Customer Service Ever.	3
No additional ear gels provided; and no instructions whatsoever.	4
It defeats the purpose of a bluetooth headset.	5
Worth every penny.	1
Excellent wallet type phone case.	9
Nice headphones for the price and they work great!	9
Internet is excrutiatingly slow.	4
It is very comfortable to wear as well; which is probably the most important aspect about using a case.	9
It's fits like a glove and is strong; secure; and durable.	10
O my gosh the best phone I have ever had.	10
It's very attractive and appears to be of good quality.	9
I love all the features and form factor.	9
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it	1
poor quality and service.	1
The cable looks so thin and flimsy; it is scary.	2
Great Earpiece.	9
Excellent hands free tool.	9
Great for using with your home stereo.	9
Good product - incredible value.	9
Only had this a month but it's worked flawlessly so far.	9
Works great.	9
Absolutel junk.	0
THAT one didn't work either.	0
Battery life is real good.	9
Returned 8 hours later.	1
It's a great item.	8
Don't waste your money!.	0
Love this headset!	9
Not only will it drain your player; but may also potentially fry it.	4
Worked perfectly!	9
Unreliable - I'm giving up.	0
I gave it 5 stars because of the sound quality.	9
Avoid this one if you can.	1
Reversible plug works great.	8
I wasted my little money with this earpiece.	0
Very good phone.	9
Best of all is the rotating feature; very helpful.	7
Comfort for our whole family.	7
Good product; good seller.	8
I love this bluetooth!	8
First of all; it doesn't wear well.	3
I am very impressed with this headset from Plantronics.	8
I got it because it was so small and adorable.	8
Great phone!.	8
I wouldn't recommend buying this product.	1
Piece of Junk.	0
Poorly contstruct hinge.	0
This item is great; installed it; let it charged up overnite and it has been working good every since with no problems	9
Great Phone.	9
Don't buy it.	1
Excellent Phone.	9
DO NOT PURCHASE THIS PHONE.	0
The voice recognition thru the handset is excellent.	8
This is hands down the best phone I've ever had.	10
Works great; when my cat attacked the phone he scratched the protective strip instead of destroying the screen.	10
This one works and was priced right.	9
Customer service was terrible.	4
Battery life still not long enough in Motorola Razor V3i.	4
Sending it back.	0
Now I know that I made a wise decision.	9
Someone shouldve invented this sooner.	9
Good price.	7
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.	8
I received it quickly and it works great!!	9
Has been working great.	9
As many people complained; I found this headset's microphone was very weak.	3
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.	3
They do not care about the consumer one bit.	3
This is a good battery; and it got here really fast.	8
The instruction manual is lacking.	4
Also its slim enough to fit into my alarm clock docking station without removing the case.	8
Phone now holds charge like it did when it was new.	9
The battery is unreliable as well as the service use antena.	1
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).	1
We have gotten a lot of compliments on it.	8
This is definitely a must have if your state does not allow cell phone usage while driving.	9
I want my money back.	1
I love this device.	9
I am also very happy with the price.	9
I ordered this product first and was unhappy with it immediately.	1
The Ngage is still lacking in earbuds.	3
I was able to do voice dialing in the car with no problem.	7
I have 2-3 bars on my cell phone when I am home; but you cant not hear anything.	4
good item; low price.	6
However-the riingtones are not the best; and neither are the games.	5
The plug did not work very well.	5
AMAZON SUCKS.	1
Rip off---- Over charge shipping.	3
VERY comfortable.	9
The battery is working well as a replacement for the original that came with the phone over 2 years ago.	9
The reception is excellent!	9
It fits comfortably in either ear; the sound is clear and loud; and the charge lasts a couple of days.	9
very clear; quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.	10
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.	9
Obviously there is a problem with the adhesive.	4
Very disappointing.	1
It was an inexpensive piece; but I would still have expected better quality.	6
It is practically useless and did not add any kind of boost to my reception after I bought it.	1
Excellent sound quality.	8
Was not happy.	1
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!	0
New Battery works great in phone.	9
Worst customer service.	3
I've dropped my phone more times than I can say; even on concrete and my phone is still great (knock on wood!).	9
Reception is terrible and full of static.	3
Good audio quality.	6
This little device has transformed my organizational capability and made my life a whole lot easier.	10
I was sitting in my vehicle; with the cradle on my belt; and the headset lost signal.	3
Were JERKS on the phone.	3
Works like a charm.. Works as advertised.	9
Comfortable; Nice Range; Good Battery Life.	9
Their network coverage in Los Angeles is horrible.	3
Excellent starter wireless headset.	9
The loudspeaker option is great; the bumpers with the lights is very ... appealing.	9
The only thing that I think could improve is the sound leaks out from the headset.	6
First off the reception sucks; I have never had more than 2 bars; ever.	2
The phone gets EXTREMELY HOT!	3
The microphone also works well; but (according to people I have called) it applifies everything.	5
Nice design and quality.	7
Also; if your phone is dropped; this case is not going to save it; specially when dropped face down.	4
It is light; easy to use; and has very clear reception and transmission.	9
bad fit; way too big.	3
It definitely was not as good as my S11.	2
awesome device.	8
Waste of money.	1
I had ordered a motorola data cable; got a very well finished and working product.	9
Love This Phone.	8
I was looking for this headset for a long time and now that I've got it I couldn't be happier.	9
I'll be drivng along; and my headset starts ringing for no reason.	5
Display is excellent and camera is as good as any from that year.	8
Battery life is also great!	8
The worst phone I've ever had.... Only had it for a few months.	0
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.	1
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.	0
Protects the phone on all sides.	9
This is a VERY average phone with bad battery life that operates on a weak network.	4
Clear Skype Calls; Long Battery Life; Long Range.	9
Soyo technology sucks.	4
Great Hands Free Device.	6
you can even take self portraits with the outside (exterior) display; very cool.	8
Same problem as others have mentioned.	4
After trying many many handsfree gadgets this is the one that finally works well.	9
Magical Help.	9
The worst piece of crap ever along with the Verizon customer service.	0
Poor sound quality.	2
The best phone in market :).	10
It worked very well.	9
The company shipped my product very promptly and it works well.	9
Exactly what I wanted.	10
The picture resolution is far below what other comparably-priced phones are offering today.	3
This is a great deal.	9
Excellent product; I am very satisfied with the purchase.	9
I highly recommend these and encourage people to give them a try.	10
Better than you'd expect.	10
Using all earpieces; left or right; this thing will not stay on my ear.	0
Great product and price.	9
Sounds good reasonably priced and effective; Its that simple !	9
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!	5
what a disappointment	0
Very prompt service.	10
Excellent product for the price.	9
Very pleased with this headset.	9
don't waste your money and time.	0
I especially love the long battery life.	9
It's so stupid to have to keep buying new chargers; car chargers; cradles; headphones and car kits every time a new phone comes out.	1
Works great.	9
Plantronics Bluetooth Excelent Buy.	8
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.	3
I'll be looking for a new earpiece.	1
I highly recommend this device to everyone!	9
Jawbone Era is awesome too!	9
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement	1
After a year the battery went completely dead on my headset.	3
I have used several phone in two years; but this one is the best.	9
An Awesome New Look For Fall 2019!.	9
This is the first phone I've had that has been so cheaply made.	1
Att is not clear; sound is very distorted and you have to yell when you talk.	2
The plastic breaks really easy on this clip.	4
Price is good too.	7
Don't make the same mistake I did.	0
Oh and I forgot to also mention the weird color effect it has on your phone.	2
I'm using it with an iriver SPINN (with case) and it fits fine.	8
Also the area where my unit broke).- I'm not too fond of the magnetic strap.	4
Overall; I am psyched to have a phone which has all my appointments and contacts in and gets great reception.	9
every thing on phone work perfectly; she like it.	10
Another note about this phone's appearance is that it really looks rather bland; especially in the all black model.	8
IT'S REALLY EASY.	8
My Sanyo has survived dozens of drops on blacktop without ill effect.	9
Fantastic earphones.	9
It finds my cell phone right away when I enter the car.	9
Low Quality.	1
I highly recommend this modest priced cellular phone.	9
But it does get better reception and clarity than any phone I've had before.	4
Warning - Stay away.	1
I wish I could return the unit and get back my money.	0
Awsome Device Works Great!!.	9
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.	3
If you don't find it; too bad; as again the unit comes with one earpad only.I would not recommend this to anyone.	1
Very Displeased.	0
I might have gotten a defect; but I would not risk buying it again because of the built quality alone.	4
They made this case too small and is very difficult to install.	2
Restored my phone to like new performance.	9
I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q; go figure.	9
I searched the Internet; and found this one to be the best value.	7
Does not fit.	3
Very happy with this product.	9
The screen size is big; key pad lit well enough; and the camera quality is excellent for a camera phone.	9
There's really nothing bad I can say about this headset.	6
i'm glad i found this product on amazon it is hard to find; it wasn't high priced.	10
Portable and it works.	9
My colleague & I now get great reception.A little expensive; but performance is great.	8
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.	1
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.	2
Not good when wearing a hat or sunglasses.	5
Timely shipment and quality product.	9
Nice solid keyboard.	7
Very well made and fits my Surefire GX2 perfectly.	9
Horrible phone.	0
BT50 battery junk!.	0
We would recommend these to others.	9
Cant get the software to work with my computer.	4
Disappointed!.	1
poor voice clarity.	1
The battery works great!	9
No buyers remorse on this one!.	9
Very disappointed in AccessoryOne.	1
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.	0
Looks great and is strong."	9
I have had TMobile service for 2 or 3 years now; and I am pretty happy with it.	8
The update procedure is difficult and cumbersome.	1
Disappointment.. I hate anything that goes in my ear.	0
Great software for Motorolas.	8
The delivery was on time.	9
Very easy to use.	9
Uncomfortable In the Ear; Don't use with LG VX9900 (EnV).	4
The volume switch rocketed out of the unit to a destination unknown.	2
It holds a charge for a long time; is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.	9
I'd like to return it.	0
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.	9
Verizon's bills; however; are difficult to understand even though their pricing plans are simple.	4
After charging overnight; these batteries work great.	9
You won't regret it!	9
I love this phone!.	9
A Disappointment.	0
Its not user friendly.	3
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.	1
Then I exchanged for the same phone; even that had the same problem.	2
This results in the phone being either stuck at max volume or mute.	4
This PDA rocks.	9
It is super charged up for use as a small hybrid palmtop/camera/cellphone; and excels in those roles.	9
I would definitely recommend the Jabra BT250v for those who are looking for comfort; clarity and a great price!	9
I had Verizon 2 years ago and really liked their service.	9
Pretty piece of junk.	0
Plug was the wrong size.	1
Works as described.	9
Save your money.... I've had this item for 11 months now.	9
Bad Purchase.	1
WELL IM SATISFIED.	8
The bose noise cancelling is amazing; which is very important for a NYC commuter.	9
This battery is an excellent bargain!	9
Defective crap.	0
I would have given no star if I was able.	0
I wear glasses and it fits fine with them.	8
The sound quality for the device is unacceptable.Unless you are in a really quiet area; you almost hear nothing.	4
I would not recommend this item to anyone.	0
The holster that arrived did not match the photo in the ad.	3
great...no problems at all!.	10
As an earlier review noted; plug in this charger and nothing happens.	3
This frog phone charm is adorable and very eye catching.	8
You never know if you pushed it hard enough or the right number of times for the function you want or not.	3
The sound is clear and the people I talk to on it are amazed at the quality too.	9
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.	9
very good product; well made.	9
Mobile Phone Tools are a must have.	9
I am very impressed with the job that Motorola did on the sturdiness of this phone.	9
I received my orders well within the shipping timeframe; everything was in good working order and overall; I am very excited to have this source.	9
The phone is sturdy and waterproof.	9
I am not impressed with this and i would not recommend this item to anyone.	0
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)	5
Thanks again to Amazon for having the things I need for a good price!	9
I ended up sliding it on the edge of my pants or back pockets instead.	4
I had to go to a store and bought a new NOKIA phone which is working great.	9
Works great!.	9
REALLY UGLY.	1
horrible; had to switch 3 times.	0
The noise shield is incrediable.	10
No real improvement.	1
Razr Battery - Good buy.	8
Keep up the good work Amazon!!	8
They refuse to refund or replace.	1
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.	5
So I basically threw my money out the window for nothing.	0
Great case and price!	9
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.	1
