Text,Value
The handsfree part works fine; but then the car tries to download the address book; and the Treo reboots.Overall; I still rate this device high.,7
Talk about USELESS customer service.,1
"It felt too light and ""tinny."".",6
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,2
I'm happy about this purchase- good quality and low price.,9
I love the look and feel of Samsung flipphones.,9
Its well-designed and very sharp -- the blue is a very nice color.,9
Does everything it should and more.,10
I could not recommend these more.,0
Nice Sound.,8
Looks good in the picture; but this case was a huge disappointment!!,0
Much less than the jawbone I was going to replace it with.,0
Setup went very smoothly.,9
its extremely slow and takes forever to do anything with it.,3
"A must study for anyone interested in the ""worst sins"" of industrial design.",3
The first thing that happened was that the tracking was off.,1
It is well made; easy to access the phone and has a handy; detachable belt clip.,9
Then I had to continue pairing it periodically since it somehow kept dropping.,4
Can't upload ringtones from a third party.,4
Bluetooth does not work; phone locks up; screens just flash up and now it just makes calls randomly while in my pocket locked.,1
Truly awful.,1
It works fine on my Motorola 325 cellphone; and a lot better than the worn-out battery did.,9
The volume for the ringer is REAL good (you have choices how loud).,9
And none of the tones is acceptable.,1
camera color balance is AWFUL.,1
This product is clearly not ready for prime time; I don't care how cool it looks; if you can't tell a call is coming in it's worthless.,0
I love the ringtones because they are so upbeat!,9
Chinese Forgeries Abound!.,1
Easy to pair with my Samsung Cell.,9
The instructions didn't explain that a microphone jack could be used.,4
i would advise to not purchase this item it never worked very well.,0
Too bad you have to pay up to $$$ a month for the service!,4
Works well.,7
The nokia CA-42 USB cable did not work with my phone.,4
Clear crisp sound.,9
I have to use the smallest earpieces provided; but it stays on pretty well.,7
The biggest complaint I have is; the battery drains superfast.,5
The design might be ergonomic in theory but I could not stand having these in my ear.,2
Do NOT buy if you want to use the holster.,5
The phone can also take great pictures and even video clips.,9
It doesn't make you look cool.,4
Because both ears are occupied; background is not distracting at all.,9
Comfortable fit - you need your headset to be comfortable for at least an hour at a time; if not for an entire day.,4
Also; the phone doesn't seem to accept anything except CBR mp3s; preferably ripped by Windows Media Player.,4
You can't beat the price on these.,7
* Comes with a strong light that you can use to light up your camera shots; and even flash SOS signals (seriously!,9
lightweight and works well.,9
So just beware.,2
I love this cable - it allows me to connect any mini-USB device to my PC.,9
So anyone near you will hear part of your conversation.,4
This is cool because most cases are just open there allowing the screen to get all scratched up.,9
I bought this phone as a replacement for my StarTac and have regretted it since.,1
Appears to actually outperform the original battery from China that came with my V325i.,9
Can't store anything but phone numbers to SIM.,2
It lasts less than 3o minutes; if I actually try to use the phone.My wife has the same phone with the same problem.,1
Poor quality.,1
"jabra ear gels ""R"" the best!.",9
Not worth it.,1
The phone crashed completely and now I have to get it replaced.,0
It quit working after I'd used it for about 18 months; so I just purchased another one because this is the best headset I've ever owned.,10
Unfortunately it will not recharge my iPhone 4s; despite connecting it from multiple power sources (iMac; external battery; wall outlet; etc).,4
It was a great phone.,9
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,4
Good value; works fine - power via USB; car; or wall outlet.,9
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,9
This is simply the BEST bluetooth headset for sound quality!,9
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,1
"In the span of an hour; I had two people exclaim ""Whoa - is that the new phone on TV?!?",1
I have always used corded headsets and the freedom from the wireless is very helpful.,9
This case has passed the one year mark and while it shows signs of wear; it is 100% functional.,10
Other than that; the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.,9
It has everything I need and I couldn't ask for more.,10
After receiving and using the product for just 2 days it broke.,2
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,9
None of the three sizes they sent with the headset would stay in my ears.,4
T-Mobile has the best customer service anywhere.,9
Arrived quickly and much less expensive than others being sold.,9
We have tried 2 units and they both failed within 2 months.. Pros,1
Provides good protection and looks classy; too.,9
Krussel Always good.,9
The tracfonewebsite is user friendly and makes it easy toactivate; etc.,9
The design is very good.4.,8
I great reception all the time.,9
I would highly recommend this product.,10
Couldn't use the unit with sunglasses; not good in Texas!,4
It dit not work most of the time with my Nokia 5320.,2
Bought mainly for the charger; which broke soon after purchasing.,1
If you like a loud buzzing to override all your conversations; then this phone is for you!,1
Fantastic buy and will get again for whatever my next phone is,10
stay away from this store; be careful.,1
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,9
Does not fit.,1
